cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
393228748, 454458, 10, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 10, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 10, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 10, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 10, 4, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 15, 4, 65535, 32, 2, 3, a, true, , OneByte
393198520, 0, 16, 10, 65535, 288, 0, 0, ffffffff, true, 49-50, Unsolvable
393200434, 454458, 11, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 11, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 11, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 11, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 11, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 11, 4, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 16, 4, 65535, 32, 2, 1, a, true, , OneByte
393200434, 454458, 12, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 12, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 12, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 12, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 12, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 12, 4, 65535, 32770, 2, 0, 0, true, , Offset
393200434, 454458, 13, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 13, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 13, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 13, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 13, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 13, 4, 65535, 32770, 2, 0, 0, true, , Offset
393200434, 454458, 14, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 14, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 14, 4, 65535, 32, 2, 0, 5f, false, , OneByte
3623503457, 500724, 14, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182870349, 188222, 14, 4, 65535, 32, 2, 0, 5f, false, , OneByte
4182863881, 188222, 14, 4, 65535, 32770, 2, 0, 0, true, , Offset
393200434, 454458, 15, 4, 65535, 32, 2, 0, 2e, false, , OneByte
393228748, 454458, 15, 4, 65535, 32, 2, 0, 24, false, , OneByte
3623497946, 500724, 15, 4, 65535, 32, 2, 0, 5f, false, , OneByte
